timestamp,machineId,stationId,tempC,vibration,cycleTime,batchId,qcResult,reworkCode
2026-05-01T00:00:00,M01,S1,84.8,0.42,1736,B001,PASS,
2026-05-01T00:30:00,M01,S1,66.9,0.62,1029,B001,PASS,
2026-05-01T01:00:00,M01,S1,80.5,0.85,1544,B001,PASS,
2026-05-01T01:30:00,M01,S1,88.5,0.21,1805,B001,FAIL,UNKNOWN
2026-05-01T02:00:00,M01,S1,76.4,0.96,1102,B001,PASS,
2026-05-01T02:30:00,M01,S1,75.7,0.46,1043,B001,PASS,
2026-05-01T03:00:00,M01,S1,68.5,0.49,1628,B001,PASS,
2026-05-01T03:30:00,M01,S1,69.4,0.27,1661,B001,PASS,
2026-05-01T04:00:00,M01,S1,91.0,0.65,1834,B001,FAIL,TOOLING
2026-05-01T04:30:00,M01,S1,73.7,0.41,1266,B001,PASS,
2026-05-01T05:00:00,M01,S1,82.5,0.93,1163,B001,PASS,
2026-05-01T05:30:00,M01,S1,82.4,0.76,1684,B001,PASS,
2026-05-01T06:00:00,M01,S1,72.6,0.47,1210,B001,PASS,
2026-05-01T06:30:00,M01,S1,90.6,0.51,1655,B001,FAIL,MATERIAL
2026-05-01T07:00:00,M01,S1,89.8,0.34,1744,B001,FAIL,SENSOR
2026-05-01T07:30:00,M01,S1,71.0,0.78,1897,B001,PASS,
2026-05-01T08:00:00,M01,S1,93.1,0.25,1109,B001,PASS,
2026-05-01T08:30:00,M01,S1,76.6,0.26,1381,B001,PASS,
2026-05-01T09:00:00,M01,S1,83.8,0.21,1720,B001,PASS,
2026-05-01T09:30:00,M01,S1,71.3,0.84,1111,B001,PASS,
2026-05-01T10:00:00,M01,S1,93.7,0.7,1178,B001,PASS,
2026-05-01T10:30:00,M01,S1,71.9,0.84,1608,B001,FAIL,TOOLING
2026-05-01T11:00:00,M01,S1,80.6,0.2,1324,B001,FAIL,CALIBRATION
2026-05-01T11:30:00,M01,S1,87.9,1.03,1307,B001,FAIL,ALIGNMENT
2026-05-01T12:00:00,M01,S1,70.5,0.93,1816,B001,PASS,
2026-05-01T12:30:00,M01,S1,67.4,0.86,1946,B001,FAIL,SENSOR
2026-05-01T13:00:00,M01,S1,89.0,0.74,1729,B001,FAIL,TOOLING
2026-05-01T13:30:00,M01,S1,86.0,0.6,1671,B001,FAIL,CALIBRATION
2026-05-01T14:00:00,M01,S1,76.1,0.42,1338,B001,PASS,
2026-05-01T14:30:00,M01,S1,70.8,0.42,1070,B001,PASS,
2026-05-01T15:00:00,M01,S1,74.2,0.27,1238,B001,PASS,
2026-05-01T15:30:00,M01,S1,68.2,0.33,1935,B001,PASS,
2026-05-01T16:00:00,M01,S1,88.0,0.3,1431,B001,PASS,
2026-05-01T16:30:00,M01,S1,84.7,0.87,1984,B001,FAIL,MATERIAL
2026-05-01T17:00:00,M01,S1,86.1,0.39,1536,B001,FAIL,TOOLING
2026-05-01T17:30:00,M01,S1,75.7,0.48,1249,B001,PASS,
2026-05-01T18:00:00,M01,S1,78.9,0.25,1999,B001,PASS,
2026-05-01T18:30:00,M01,S1,89.9,1.05,1166,B001,FAIL,MATERIAL
2026-05-01T19:00:00,M01,S1,81.3,0.36,1002,B001,PASS,
2026-05-01T19:30:00,M01,S1,84.3,0.49,1696,B001,PASS,
2026-05-01T20:00:00,M01,S1,82.6,0.42,1058,B001,PASS,
2026-05-01T20:30:00,M01,S1,73.5,0.25,1476,B001,PASS,
2026-05-01T21:00:00,M01,S1,61.8,0.27,1067,B001,PASS,
2026-05-01T21:30:00,M01,S1,75.9,1.14,1569,B001,FAIL,SENSOR
2026-05-01T22:00:00,M01,S1,80.3,0.78,1522,B001,PASS,
2026-05-01T22:30:00,M01,S1,84.1,0.44,1395,B001,PASS,
2026-05-01T23:00:00,M01,S1,73.5,0.66,1998,B001,PASS,
2026-05-01T23:30:00,M01,S1,69.6,0.47,1933,B001,PASS,
2026-05-01T00:00:00,M02,S2,71.1,0.36,1833,B001,PASS,
2026-05-01T00:30:00,M02,S2,78.4,1.19,1653,B001,FAIL,ALIGNMENT
2026-05-01T01:00:00,M02,S2,80.0,0.75,1931,B001,FAIL,TOOLING
2026-05-01T01:30:00,M02,S2,67.9,1.09,1742,B001,FAIL,TOOLING
2026-05-01T02:00:00,M02,S2,68.2,0.8,1717,B001,PASS,
2026-05-01T02:30:00,M02,S2,79.0,0.46,1488,B001,PASS,
2026-05-01T03:00:00,M02,S2,85.4,0.29,1423,B001,PASS,
2026-05-01T03:30:00,M02,S2,60.1,0.97,1637,B001,PASS,
2026-05-01T04:00:00,M02,S2,82.2,0.75,1427,B001,FAIL,ALIGNMENT
2026-05-01T04:30:00,M02,S2,88.4,0.89,1149,B001,FAIL,CALIBRATION
2026-05-01T05:00:00,M02,S2,77.5,0.35,1127,B001,PASS,
2026-05-01T05:30:00,M02,S2,69.2,1.1,1796,B001,FAIL,ALIGNMENT
2026-05-01T06:00:00,M02,S2,87.0,0.41,1249,B001,FAIL,SENSOR
2026-05-01T06:30:00,M02,S2,86.5,0.61,1620,B001,FAIL,TOOLING
2026-05-01T07:00:00,M02,S2,87.8,0.44,1162,B001,PASS,
2026-05-01T07:30:00,M02,S2,65.3,0.61,1179,B001,PASS,
2026-05-01T08:00:00,M02,S2,87.7,0.98,1411,B001,PASS,
2026-05-01T08:30:00,M02,S2,82.1,0.45,1159,B001,PASS,
2026-05-01T09:00:00,M02,S2,71.5,0.24,1470,B001,FAIL,MATERIAL
2026-05-01T09:30:00,M02,S2,70.5,1.02,1871,B001,FAIL,TOOLING
2026-05-01T10:00:00,M02,S2,60.7,0.39,1328,B001,PASS,
2026-05-01T10:30:00,M02,S2,85.9,1.17,1279,B001,FAIL,UNKNOWN
2026-05-01T11:00:00,M02,S2,75.3,0.88,1843,B001,PASS,
2026-05-01T11:30:00,M02,S2,60.8,1.08,1261,B001,PASS,
2026-05-01T12:00:00,M02,S2,89.5,0.24,1596,B001,FAIL,CALIBRATION
2026-05-01T12:30:00,M02,S2,81.9,0.51,1606,B001,PASS,
2026-05-01T13:00:00,M02,S2,71.6,0.78,1254,B001,PASS,
2026-05-01T13:30:00,M02,S2,81.3,0.2,1925,B001,PASS,
2026-05-01T14:00:00,M02,S2,81.6,0.94,1670,B001,PASS,
2026-05-01T14:30:00,M02,S2,62.1,0.86,1330,B001,PASS,
2026-05-01T15:00:00,M02,S2,85.4,0.92,1300,B001,PASS,
2026-05-01T15:30:00,M02,S2,72.3,0.6,1295,B001,PASS,
2026-05-01T16:00:00,M02,S2,63.8,0.62,1940,B001,PASS,
2026-05-01T16:30:00,M02,S2,87.1,0.82,1300,B001,PASS,
2026-05-01T17:00:00,M02,S2,60.0,0.49,1429,B001,PASS,
2026-05-01T17:30:00,M02,S2,79.6,0.66,1442,B001,PASS,
2026-05-01T18:00:00,M02,S2,74.2,1.1,1796,B001,FAIL,TOOLING
2026-05-01T18:30:00,M02,S2,79.8,0.48,1663,B001,PASS,
2026-05-01T19:00:00,M02,S2,62.8,1.15,1234,B001,PASS,
2026-05-01T19:30:00,M02,S2,84.2,0.35,1046,B001,PASS,
2026-05-01T20:00:00,M02,S2,78.3,0.97,1455,B001,PASS,
2026-05-01T20:30:00,M02,S2,77.3,0.92,1383,B001,PASS,
2026-05-01T21:00:00,M02,S2,64.4,0.89,1892,B001,PASS,
2026-05-01T21:30:00,M02,S2,86.6,0.98,1218,B001,PASS,
2026-05-01T22:00:00,M02,S2,80.9,0.66,1557,B001,PASS,
2026-05-01T22:30:00,M02,S2,63.6,0.33,1464,B001,PASS,
2026-05-01T23:00:00,M02,S2,76.8,0.52,1755,B001,PASS,
2026-05-01T23:30:00,M02,S2,84.5,1.09,1426,B001,PASS,
2026-05-01T00:00:00,M03,S3,73.4,0.36,1861,B001,PASS,
2026-05-01T00:30:00,M03,S3,82.6,1.04,1277,B001,PASS,
2026-05-01T01:00:00,M03,S3,74.5,0.44,1439,B001,PASS,
2026-05-01T01:30:00,M03,S3,67.0,0.54,1893,B001,FAIL,TOOLING
2026-05-01T02:00:00,M03,S3,66.9,0.89,1706,B001,FAIL,MATERIAL
2026-05-01T02:30:00,M03,S3,69.9,0.67,1062,B001,PASS,
2026-05-01T03:00:00,M03,S3,85.0,0.59,1769,B001,PASS,
2026-05-01T03:30:00,M03,S3,60.6,1.08,1575,B001,FAIL,MATERIAL
2026-05-01T04:00:00,M03,S3,60.2,0.55,1753,B001,PASS,
2026-05-01T04:30:00,M03,S3,88.6,0.62,1747,B001,FAIL,SENSOR
2026-05-01T05:00:00,M03,S3,84.0,1.1,1488,B001,PASS,
2026-05-01T05:30:00,M03,S3,74.6,0.59,1668,B001,PASS,
2026-05-01T06:00:00,M03,S3,81.7,1.04,1919,B001,FAIL,SENSOR
2026-05-01T06:30:00,M03,S3,76.0,1.11,1591,B001,FAIL,UNKNOWN
2026-05-01T07:00:00,M03,S3,60.8,0.84,1135,B001,PASS,
2026-05-01T07:30:00,M03,S3,61.5,0.58,1211,B001,PASS,
2026-05-01T08:00:00,M03,S3,69.8,0.96,1379,B001,PASS,
2026-05-01T08:30:00,M03,S3,85.0,0.45,1081,B001,FAIL,SENSOR
2026-05-01T09:00:00,M03,S3,61.6,1.15,1224,B001,FAIL,UNKNOWN
2026-05-01T09:30:00,M03,S3,61.2,0.23,1247,B001,PASS,
2026-05-01T10:00:00,M03,S3,85.2,0.82,1238,B001,PASS,
2026-05-01T10:30:00,M03,S3,63.4,1.15,1465,B001,PASS,
2026-05-01T11:00:00,M03,S3,71.1,0.81,1963,B001,PASS,
2026-05-01T11:30:00,M03,S3,83.3,0.36,1311,B001,PASS,
2026-05-01T12:00:00,M03,S3,87.9,0.78,1908,B001,FAIL,MATERIAL
2026-05-01T12:30:00,M03,S3,71.9,0.92,1075,B001,PASS,
2026-05-01T13:00:00,M03,S3,78.8,0.3,1772,B001,PASS,
2026-05-01T13:30:00,M03,S3,78.0,0.32,1983,B001,PASS,
2026-05-01T14:00:00,M03,S3,70.4,0.63,1370,B001,PASS,
2026-05-01T14:30:00,M03,S3,75.2,0.54,1849,B001,PASS,
2026-05-01T15:00:00,M03,S3,63.2,1.16,1635,B001,FAIL,MATERIAL
